Categoria: Todas as categorias

Semana,Interestelar: (Brasil)
2017-01-01,73
2017-01-08,63
2017-01-15,56
2017-01-22,53
2017-01-29,53
2017-02-05,48
2017-02-12,40
2017-02-19,72
2017-02-26,68
2017-03-05,50
2017-03-12,41
2017-03-19,47
2017-03-26,46
2017-04-02,40
2017-04-09,53
2017-04-16,50
2017-04-23,54
2017-04-30,53
2017-05-07,53
2017-05-14,39
2017-05-21,42
2017-05-28,77
2017-06-04,41
2017-06-11,46
2017-06-18,43
2017-06-25,52
2017-07-02,60
2017-07-09,50
2017-07-16,55
2017-07-23,50
2017-07-30,58
2017-08-06,48
2017-08-13,48
2017-08-20,35
2017-08-27,54
2017-09-03,48
2017-09-10,31
2017-09-17,35
2017-09-24,30
2017-10-01,49
2017-10-08,51
2017-10-15,33
2017-10-22,33
2017-10-29,40
2017-11-05,31
2017-11-12,28
2017-11-19,32
2017-11-26,37
2017-12-03,39
2017-12-10,32
2017-12-17,45
2017-12-24,56
2017-12-31,56
2018-01-07,40
2018-01-14,42
2018-01-21,38
2018-01-28,41
2018-02-04,41
2018-02-11,37
2018-02-18,43
2018-02-25,33
2018-03-04,39
2018-03-11,32
2018-03-18,31
2018-03-25,32
2018-04-01,30
2018-04-08,27
2018-04-15,47
2018-04-22,30
2018-04-29,43
2018-05-06,29
2018-05-13,24
2018-05-20,33
2018-05-27,41
2018-06-03,38
2018-06-10,32
2018-06-17,30
2018-06-24,35
2018-07-01,29
2018-07-08,46
2018-07-15,35
2018-07-22,71
2018-07-29,100
2018-08-05,57
2018-08-12,61
2018-08-19,55
2018-08-26,45
2018-09-02,51
2018-09-09,41
2018-09-16,39
2018-09-23,32
2018-09-30,41
2018-10-07,53
2018-10-14,57
2018-10-21,53
2018-10-28,43
2018-11-04,45
2018-11-11,45
2018-11-18,55
2018-11-25,44
2018-12-02,41
2018-12-09,39
2018-12-16,40
2018-12-23,64
2018-12-30,44
2019-01-06,46
2019-01-13,76
2019-01-20,64
2019-01-27,61
2019-02-03,61
2019-02-10,44
2019-02-17,36
2019-02-24,60
2019-03-03,69
2019-03-10,47
2019-03-17,59
2019-03-24,37
2019-03-31,53
2019-04-07,89
2019-04-14,75
2019-04-21,45
2019-04-28,62
2019-05-05,50
2019-05-12,40
2019-05-19,39
2019-05-26,43
2019-06-02,42
2019-06-09,33
2019-06-16,50
2019-06-23,57
2019-06-30,43
2019-07-07,46
2019-07-14,50
2019-07-21,51
2019-07-28,54
2019-08-04,52
2019-08-11,50
2019-08-18,41
2019-08-25,45
2019-09-01,55
2019-09-08,44
2019-09-15,75
2019-09-22,51
2019-09-29,65
2019-10-06,55
2019-10-13,51
2019-10-20,44
2019-10-27,42
2019-11-03,41
2019-11-10,46
2019-11-17,45
2019-11-24,41
2019-12-01,36
2019-12-08,46
2019-12-15,44
2019-12-22,63
2019-12-29,64
2020-01-05,46
2020-01-12,40
2020-01-19,35
2020-01-26,53
2020-02-02,53
2020-02-09,55
2020-02-16,54
2020-02-23,60
2020-03-01,41
2020-03-08,33
2020-03-15,52
2020-03-22,62
2020-03-29,66
2020-04-05,69
2020-04-12,67
2020-04-19,66
2020-04-26,56
2020-05-03,55
2020-05-10,57
2020-05-17,63
2020-05-24,70
2020-05-31,65
2020-06-07,74
2020-06-14,55
